guid,source_id,doc_id,scale,raw_text,text,text_lemmatized,lexical,structural,other,label,big_5_mapped_label
ihaveaspecialabilitytoknowwhatwillhappenbeforeithappens,IPIP,Q2521,IPIP,I have a special ability to know what will happen before it happens.,i have a special ability to know what will happen before it happens,i have a special ability to know what will happen before it happen,0,0,0,other_item,agreeableness
ihaveastrongneedforpower,IPIP,Q4283,6FPQ,I have a strong need for power.,i have a strong need for power,i have a strong need for power,0,0,1,big5_item,extraversion
ihaveastrongpersonality,IPIP,Q1054,BFAS,I have a strong personality.,i have a strong personality,i have a strong personality,1,1,1,big5_item,extraversion
ihaveastrongphysique,IPIP,Q2218,IPIP,I have a strong physique.,i have a strong physique,i have a strong physique,0,0,0,other_item,extraversion
ihaveathinbody,IPIP,Q2293,IPIP,I have a thin body.,i have a thin body,i have a thin body,0,0,0,other_item,neuroticism
ihaveaviolenttemper,IPIP,Q5650,CAT-PD,I have a violent temper.,i have a violent temper,i have a violent temper,0,0,0,other_item,neuroticism
ihaveavividimagination,IPIP,Q6329,AB5C,I have a vivid imagination.,i have a vivid imagination,i have a vivid imagination,1,1,1,big5_item,openness
ihaveallmysensesintact,IPIP,Q2324,IPIP,I have all my senses intact.,i have all my senses intact,i have all my sense intact,0,0,0,other_item,neuroticism
ihaveallthematerialthingsireallyneedtoenjoylife,IPIP,Q1960,IPIP,I have all the material things I really need to enjoy life.,i have all the material things i really need to enjoy life,i have all the material thing i really need to enjoy life,0,0,0,other_item,neuroticism
ihavealreadygottenmorethanideserve,IPIP,Q4284,6FPQ,I have already gotten more than I deserve.,i have already gotten more than i deserve,i have already get more than i deserve,0,0,1,big5_item,neuroticism
ihavealwaysbeenarulebreaker,IPIP,Q5718,CAT-PD,I have always been a rule breaker.,i have always been a rule breaker,i have always be a rule breaker,0,0,0,other_item,agreeableness
ihavealwaysbeencompletelyfairtoothers,IPIP,Q2259,IPIP,I have always been completely fair to others.,i have always been completely fair to others,i have always be completely fair to other,0,0,0,other_item,conscientiousness
ihaveanattractiveface,IPIP,Q2230,IPIP,I have an attractive face.,i have an attractive face,i have an attractive face,0,0,0,other_item,extraversion
ihaveanexcellentviewoftheworld,IPIP,Q2747,VIA,I have an excellent view of the world.,i have an excellent view of the world,i have an excellent view of the world,0,0,1,other_item,neuroticism
ihaveaneyefordetail,IPIP,Q3396,AB5C,I have an eye for detail.,i have an eye for detail,i have an eye for detail,1,1,1,big5_item,conscientiousness
ihaveanimaginationthatstretchesbeyondthatofmyfriends,IPIP,Q2604,VIA,I have an imagination that stretches beyond that of my friends.,i have an imagination that stretches beyond that of my friends,i have an imagination that stretch beyond that of my friend,0,0,1,other_item,openness
ihaveanintenseboisterouslaugh,IPIP,Q4800,HEXACO,I have an intense boisterous laugh.,i have an intense boisterous laugh,i have an intense boisterous laugh,0,0,1,big5_item,extraversion
ihaveanuncommonabilitytopersuadeorinspireothers,IPIP,Q2377,HPS,I have an uncommon ability to persuade or inspire others.,i have an uncommon ability to persuade or inspire others,i have an uncommon ability to persuade or inspire other,0,0,0,other_item,extraversion
ihaveasmuchmoneyasineed,IPIP,Q2261,IPIP,I have as much money as I need.,i have as much money as i need,i have as much money as i need,0,0,0,other_item,neuroticism
ihaveattackedsomeonephysically,IPIP,Q1351,IPIP,I have attacked someone physically.,i have attacked someone physically,i have attack someone physically,0,0,0,other_item,agreeableness
ihaveattacksthatresembleanepilepticfit,IPIP,Q1326,IPIP,I have attacks that resemble an epileptic fit.,i have attacks that resemble an epileptic fit,i have attack that resemble an epileptic fit,0,0,0,other_item,neuroticism
ihaveavoidedsituationsorpeopleforfearthatiwouldgetsick,IPIP,Q1454,IPIP,I have avoided situations or people for fear that I would get sick.,i have avoided situations or people for fear that i would get sick,i have avoid situation or people for fear that i would get sick,0,0,0,other_item,neuroticism
ihavebadluck,IPIP,Q2155,IPIP,I have bad luck.,i have bad luck,i have bad luck,0,0,0,other_item,neuroticism
ihavebadmanners,IPIP,Q2160,IPIP,I have bad manners.,i have bad manners,i have bad manner,0,0,0,other_item,agreeableness
ihavebadthingshappentomefornoreason,IPIP,Q2306,IPIP,I have bad things happen to me for no reason.,i have bad things happen to me for no reason,i have bad thing happen to me for no reason,0,0,0,other_item,neuroticism
ihavebeautifulidealsinmyheart,IPIP,Q2220,IPIP,I have beautiful ideals in my heart.,i have beautiful ideals in my heart,i have beautiful ideal in my heart,0,0,0,other_item,openness
ihavebeencalledacheapskate,IPIP,Q2115,IPIP,I have been called a cheapskate.,i have been called a cheapskate,i have be call a cheapskate,0,0,0,other_item,agreeableness
ihavebeendescribedaswisebeyondmyyears,IPIP,Q2492,VIA,I have been described as wise beyond my years.,i have been described as wise beyond my years,i have be describe as wise beyond my year,0,0,1,other_item,openness
ihavebeenleftspeechlessbythebeautydepictedinamovie,IPIP,Q2510,VIA,I have been left speechless by the beauty depicted in a movie.,i have been left speechless by the beauty depicted in a movie,i have be leave speechless by the beauty depict in a movie,0,0,1,other_item,openness
ihavebeenrichlyblessedinmylife,IPIP,Q2683,VIA,I have been richly blessed in my life.,i have been richly blessed in my life,i have be richly bless in my life,0,0,1,other_item,agreeableness
ihavebeentoldiamnotlisteningwhenothersarespeakingtome,IPIP,Q2356,ADHDS,I have been told I am not listening when others are speaking to me.,i have been told i am not listening when others are speaking to me,i have be tell i be not listen when other be speak to me,0,0,0,other_item,agreeableness
ihavebeentoldthatiamrigidandinflexible,IPIP,Q5740,CAT-PD,I have been told that I am rigid and inflexible.,i have been told that i am rigid and inflexible,i have be tell that i be rigid and inflexible,0,0,0,other_item,agreeableness
ihavebeentoldthatmybehavioroftenisbizarre,IPIP,Q5720,CAT-PD,I have been told that my behavior often is bizarre.,i have been told that my behavior often is bizarre,i have be tell that my behavior often be bizarre,0,0,0,other_item,openness
ihavecompleteconfidenceinmydoctor,IPIP,Q1453,IPIP,I have complete confidence in my doctor.,i have complete confidence in my doctor,i have complete confidence in my doctor,0,0,0,other_item,agreeableness
ihavecryingfits,IPIP,Q3526,AB5C,I have crying fits.,i have crying fits,i have crying fit,1,1,1,big5_item,neuroticism
ihavedayswheniammadattheworld,IPIP,Q3528,AB5C,I have days when I am mad at the world.,i have days when i am mad at the world,i have day when i be mad at the world,1,1,1,big5_item,neuroticism
ihavedifficultyacceptinglovefromanyone,IPIP,Q2695,VIA,I have difficulty accepting love from anyone.,i have difficulty accepting love from anyone,i have difficulty accept love from anyone,0,0,1,other_item,extraversion
ihavedifficultyconcentratingonthejobathandwheniheargoodnews,IPIP,Q1498,IPIP,I have difficulty concentrating on the job at hand when I hear good news.,i have difficulty concentrating on the job at hand when i hear good news,i have difficulty concentrate on the job at hand when i hear good news,0,0,0,other_item,conscientiousness
ihavedifficultydoingmywork,IPIP,Q1731,IPIP,I have difficulty doing my work.,i have difficulty doing my work,i have difficulty do my work,0,0,0,other_item,conscientiousness
ihavedifficultyexpressingmyfeelings,IPIP,Q5616,7FACTOR,I have difficulty expressing my feelings.,i have difficulty expressing my feelings,i have difficulty express my feeling,1,1,1,big5_item,extraversion
ihavedifficultygettingotherstoworktogether,IPIP,Q2718,VIA,I have difficulty getting others to work together.,i have difficulty getting others to work together,i have difficulty get other to work together,0,0,1,other_item,extraversion
ihavedifficultygettingridofnastythoughts,IPIP,Q2360,OCI-S,I have difficulty getting rid of nasty thoughts.,i have difficulty getting rid of nasty thoughts,i have difficulty get rid of nasty thought,0,0,0,other_item,neuroticism
ihavedifficultyimaginingthings,IPIP,Q6333,AB5C,I have difficulty imagining things.,i have difficulty imagining things,i have difficulty imagine thing,1,1,1,big5_item,openness
ihavedifficultykeepingaconversationgoing,IPIP,Q1942,IPIP,I have difficulty keeping a conversation going.,i have difficulty keeping a conversation going,i have difficulty keep a conversation go,0,0,0,other_item,extraversion
ihavedifficultykeepingmyattentiononatask,IPIP,Q2340,CAT-PD,I have difficulty keeping my attention on a task.,i have difficulty keeping my attention on a task,i have difficulty keep my attention on a task,0,0,0,other_item,conscientiousness
ihavedifficultykeepingthingsinmind,IPIP,Q1739,BIDR,I have difficulty keeping things in mind.,i have difficulty keeping things in mind,i have difficulty keep thing in mind,0,0,0,other_item,conscientiousness
ihavedifficultyshowingaffection,IPIP,Q1314,EI,I have difficulty showing affection.,i have difficulty showing affection,i have difficulty show affection,0,0,0,other_item,extraversion
ihavedifficultystartingtasks,IPIP,Q3401,AB5C,I have difficulty starting tasks.,i have difficulty starting tasks,i have difficulty start task,1,1,1,big5_item,conscientiousness
ihavedifficultyunderstandingabstractideas,IPIP,Q5617,7FACTOR,I have difficulty understanding abstract ideas.,i have difficulty understanding abstract ideas,i have difficulty understand abstract idea,1,1,1,big5_item,openness
ihavedonemanyterriblethings,IPIP,Q2369,IPIP,I have done many terrible things.,i have done many terrible things,i have do many terrible thing,0,0,0,other_item,neuroticism
ihavedonemanythingsforwhichicouldhavebeenorwasarrested,IPIP,Q5717,CAT-PD,I have done many things for which I could have been or was arrested.,i have done many things for which i could have been or was arrested,i have do many thing for which i could have be or be arrest,0,0,0,other_item,agreeableness
ihaveeeriefeelings,IPIP,Q2678,IPIP,I have eerie feelings.,i have eerie feelings,i have eerie feeling,0,0,0,other_item,neuroticism
ihaveenemieswhowanttoharmme,IPIP,Q1129,EPQ,I have enemies who want to harm me.,i have enemies who want to harm me,i have enemy who want to harm me,0,0,1,other_item,agreeableness
ihaveexcellentideas,IPIP,Q5618,7FACTOR,I have excellent ideas.,i have excellent ideas,i have excellent idea,1,1,1,big5_item,openness
ihaveexperiencedaspiritualforcethatisgreaterthananyhumanbeing,IPIP,Q2061,IPIP,I have experienced a spiritual force that is greater than any human being.,i have experienced a spiritual force that is greater than any human being,i have experience a spiritual force that be great than any human being,0,0,0,other_item,agreeableness
ihaveexploitedothersformyowngain,IPIP,Q5706,CAT-PD,I have exploited others for my own gain.,i have exploited others for my own gain,i have exploit other for my own gain,0,0,0,other_item,agreeableness
ihaveextratimeonmyhands,IPIP,Q4286,6FPQ,I have extra time on my hands.,i have extra time on my hands,i have extra time on my hand,0,0,1,big5_item,conscientiousness
ihavefeelingsthaticannotquiteidentify,IPIP,Q1285,IPIP,I have feelings that I cannot quite identify.,i have feelings that i cannot quite identify,i have feeling that i cannot quite identify,0,0,0,other_item,neuroticism
ihavefeltcontactwithadivinepower,IPIP,Q2044,IPIP,I have felt contact with a divine power.,i have felt contact with a divine power,i have feel contact with a divine power,0,0,0,other_item,agreeableness
ihavefeltsogoodduringnumerousmomentsinmylifethaticouldnotimaginefeelinganybetter,IPIP,Q1554,IPIP,I have felt so good during numerous moments in my life that I could not imagine feeling any better.,i have felt so good during numerous moments in my life that i could not imagine feeling any better,i have feel so good during numerous moment in my life that i could not imagine feel any good,0,0,0,other_item,extraversion
ihavefeltthepresenceofanotherpersonwhenheorshewasnotreallythere,IPIP,Q1363,IPIP,I have felt the presence of another person when he or she was not really there.,i have felt the presence of another person when he or she was not really there,i have feel the presence of another person when he or she be not really there,0,0,0,other_item,openness
ihavefewinterests,IPIP,Q2697,VIA,I have few interests.,i have few interests,i have few interest,0,0,1,other_item,openness
ihavefixedopinions,IPIP,Q1744,CAT-PD,I have fixed opinions.,i have fixed opinions,i have fix opinion,0,0,0,other_item,openness
ihavefoundthatittakesalottomakemefeeltrulyhappy,IPIP,Q1471,IPIP,I have found that it takes a lot to make me feel truly happy.,i have found that it takes a lot to make me feel truly happy,i have find that it take a lot to make me feel truly happy,0,0,0,other_item,neuroticism
ihavefrequentmoodswings,IPIP,Q5619,7FACTOR,I have frequent mood swings.,i have frequent mood swings,i have frequent mood swing,1,1,1,big5_item,neuroticism
ihavefrighteningdreams,IPIP,Q1360,IPIP,I have frightening dreams.,i have frightening dreams,i have frightening dream,0,0,0,other_item,neuroticism
ihavegoodluck,IPIP,Q2239,IPIP,I have good luck.,i have good luck,i have good luck,0,0,0,other_item,neuroticism
ihavegoodpresenceofmind,IPIP,Q2216,IPIP,I have good presence of mind.,i have good presence of mind,i have good presence of mind,0,0,0,other_item,conscientiousness
ihavegottenbetterwithage,IPIP,Q2202,IPIP,I have gotten better with age.,i have gotten better with age,i have get good with age,0,0,0,other_item,openness
ihavegottentheimportantthingsiwantinmylife,IPIP,Q2612,IPIP,I have gotten the important things I want in my life.,i have gotten the important things i want in my life,i have get the important thing i want in my life,0,0,0,other_item,neuroticism
ihavegreatstamina,IPIP,Q4827,HEXACO,I have great stamina.,i have great stamina,i have great stamina,0,0,1,big5_item,extraversion
ihavehadintensereligiousexperiences,IPIP,Q1411,IPIP,I have had intense religious experiences.,i have had intense religious experiences,i have have intense religious experience,0,0,0,other_item,agreeableness
ihavehadthefeelingthatimightnotbehuman,IPIP,Q5768,CAT-PD,I have had the feeling that I might not be human.,i have had the feeling that i might not be human,i have have the feeling that i might not be human,0,0,0,other_item,agreeableness
ihavehadthefeelingthatiwassomeoneelse,IPIP,Q5770,CAT-PD,I have had the feeling that I was someone else.,i have had the feeling that i was someone else,i have have the feeling that i be someone else,0,0,0,other_item,agreeableness
ihavehadthefeelingthatmythoughtswereaudible,IPIP,Q1370,IPIP,I have had the feeling that my thoughts were audible.,i have had the feeling that my thoughts were audible,i have have the feeling that my thought be audible,0,0,0,other_item,neuroticism
ihavehadthefeelingthatotherpeoplehaveinjectedtheirthoughtsintomymind,IPIP,Q1377,IPIP,I have had the feeling that other people have injected their thoughts into my mind.,i have had the feeling that other people have injected their thoughts into my mind,i have have the feeling that other people have inject their thought into my mind,0,0,0,other_item,neuroticism
ihaveintensereligiousexperienceswhichinfluencemeinastrongmanner,IPIP,Q1325,IPIP,I have intense religious experiences which influence me in a strong manner.,i have intense religious experiences which influence me in a strong manner,i have intense religious experience which influence me in a strong manner,0,0,0,other_item,agreeableness
ihaveintentionallydonemyselfphysicalharm,IPIP,Q1393,CAT-PD,I have intentionally done myself physical harm.,i have intentionally done myself physical harm,i have intentionally do myself physical harm,0,0,0,other_item,neuroticism
ihaveleadershipabilities,IPIP,Q4809,HEXACO,I have leadership abilities.,i have leadership abilities,i have leadership ability,0,0,1,big5_item,extraversion
ihavelearnedthatitisdangeroustobelievewhatpeoplesay,IPIP,Q2614,IPIP,I have learned that it is dangerous to believe what people say.,i have learned that it is dangerous to believe what people say,i have learn that it be dangerous to believe what people say,0,0,0,other_item,agreeableness
ihavelittledesireforsexorromance,IPIP,Q5747,CAT-PD,I have little desire for sex or romance.,i have little desire for sex or romance,i have little desire for sex or romance,0,0,0,other_item,extraversion
ihavelittlepatienceforslackers,IPIP,Q1580,IPIP,I have little patience for slackers.,i have little patience for slackers,i have little patience for slacker,0,0,0,other_item,conscientiousness
ihavelittlesympathyfortheunemployed,IPIP,Q1368,EI,I have little sympathy for the unemployed.,i have little sympathy for the unemployed,i have little sympathy for the unemployed,0,0,0,other_item,agreeableness
ihavelittletocontribute,IPIP,Q931,NEO-PI-R,I have little to contribute.,i have little to contribute,i have little to contribute,0,1,1,big5_item,conscientiousness
ihavelittletosay,IPIP,Q3405,AB5C,I have little to say.,i have little to say,i have little to say,1,1,1,big5_item,extraversion
ihavelivedinallstatesintheusa,IPIP,Q2081,IPIP,I have lived in all states in the USA.,i have lived in all states in the usa,i have live in all state in the usa,0,0,0,other_item,openness
ihavemanydifferenthobbies,IPIP,Q1103,EPQ,I have many different hobbies.,i have many different hobbies,i have many different hobby,0,0,1,other_item,extraversion
ihavemanyfriends,IPIP,Q1131,EPQ,I have many friends.,i have many friends,i have many friend,0,0,1,other_item,extraversion
ihavemanyvaluablematerialpossessions,IPIP,Q2172,IPIP,I have many valuable material possessions.,i have many valuable material possessions,i have many valuable material possession,0,0,0,other_item,extraversion
ihavemedicalproblemsthatmydoctorsdonotunderstand,IPIP,Q5696,CAT-PD,I have medical problems that my doctors do not understand.,i have medical problems that my doctors do not understand,i have medical problem that my doctor do not understand,0,0,0,other_item,neuroticism
ihavemurderousideas,IPIP,Q1323,IPIP,I have murderous ideas.,i have murderous ideas,i have murderous idea,0,0,0,other_item,agreeableness
ihavenervesofsteel,IPIP,Q2165,IPIP,I have nerves of steel.,i have nerves of steel,i have nerve of steel,0,0,0,other_item,neuroticism
ihaveneverattendedacollegeoruniversity,IPIP,Q2321,IPIP,I have never attended a college or university.,i have never attended a college or university,i have never attend a college or university,0,0,0,other_item,openness
ihavenevercaredmuchwhatothersthoughtofme,IPIP,Q2524,IPIP,I have never cared much what others thought of me.,i have never cared much what others thought of me,i have never care much what other think of me,0,0,0,other_item,agreeableness
ihaveneverdeliberatelyhurtanyone,IPIP,Q2484,VIA,I have never deliberately hurt anyone.,i have never deliberately hurt anyone,i have never deliberately hurt anyone,0,0,1,other_item,agreeableness
ihaveneverengagedingossip,IPIP,Q2065,MPQ,I have never engaged in gossip.,i have never engaged in gossip,i have never engage in gossip,0,0,1,other_item,neuroticism
ihaveneverfeltrealjoy,IPIP,Q2563,IPIP,I have never felt real joy.,i have never felt real joy,i have never feel real joy,0,0,0,other_item,extraversion
ihavenevergivenbadadvicetoafriend,IPIP,Q2455,VIA,I have never given bad advice to a friend.,i have never given bad advice to a friend,i have never give bad advice to a friend,0,0,1,other_item,neuroticism
ihaveneverhatedanyone,IPIP,Q2243,IPIP,I have never hated anyone.,i have never hated anyone,i have never hate anyone,0,0,0,other_item,agreeableness
ihavenoneedforclosefriendships,IPIP,Q2573,IPIP,I have no need for close friendships.,i have no need for close friendships,i have no need for close friendship,0,0,0,other_item,extraversion
ihavenoopinionsofmyown,IPIP,Q1640,IPIP,I have no opinions of my own.,i have no opinions of my own,i have no opinion of my own,0,0,0,other_item,neuroticism
ihavenoplanformylifefiveyearsfromnow,IPIP,Q2546,VIA,I have no plan for my life five years from now.,i have no plan for my life five years from now,i have no plan for my life five year from now,0,0,1,other_item,conscientiousness
ihavenosecrets,IPIP,Q1891,IPIP,I have no secrets.,i have no secrets,i have no secret,0,0,0,other_item,agreeableness
ihavenospecialurgetodosomethingoriginal,IPIP,Q2689,VIA,I have no special urge to do something original.,i have no special urge to do something original,i have no special urge to do something original,0,0,1,other_item,openness
ihavenosympathyforcriminals,IPIP,Q217,AB5C,I have no sympathy for criminals.,i have no sympathy for criminals,i have no sympathy for criminal,1,1,1,big5_item,conscientiousness
ihavenosympathyforrulebreakers,IPIP,Q2493,IPIP,I have no sympathy for rule breakers.,i have no sympathy for rule breakers,i have no sympathy for rule breaker,0,0,0,other_item,openness
ihavenotroubleeatinghealthyfoods,IPIP,Q2572,VIA,I have no trouble eating healthy foods.,i have no trouble eating healthy foods,i have no trouble eat healthy food,0,0,1,other_item,neuroticism
ihavenowilltolive,IPIP,Q5757,CAT-PD,I have no will to live.,i have no will to live,i have no will to live,0,0,0,other_item,neuroticism
ihavenotbeenjoyfulforquitesometime,OpenPsychometrics,Q5198,MEIS,I have not been joyful for quite some time.,i have not been joyful for quite some time,i have not be joyful for quite some time,0,0,0,big5_item,extraversion
ihavenotcreatedsomethingofbeautyinthelastyear,IPIP,Q2651,VIA,I have not created something of beauty in the last year.,i have not created something of beauty in the last year,i have not create something of beauty in the last year,0,0,1,other_item,openness
ihavenotkeptupwithmyoldfriendsovertheyears,OpenPsychometrics,Q5197,MEIS,I have not kept up with my old friends over the years.,i have not kept up with my old friends over the years,i have not keep up with my old friend over the year,0,0,0,big5_item,extraversion
ihavenoticedthatiputmyworkaheadoftoomanyotherthings,IPIP,Q5772,CAT-PD,I have noticed that I put my work ahead of too many other things.,i have noticed that i put my work ahead of too many other things,i have notice that i put my work ahead of too many other thing,0,0,0,other_item,conscientiousness
ihaveoccasionallydislikedsomeone,IPIP,Q2030,IPIP,I have occasionally disliked someone.,i have occasionally disliked someone,i have occasionally dislike someone,0,0,0,other_item,agreeableness
ihaveoftenbeenpunishedwithoutagoodreason,IPIP,Q2281,IPIP,I have often been punished without a good reason.,i have often been punished without a good reason,i have often be punish without a good reason,0,0,0,other_item,neuroticism
ihaveoftengoneagainstmyparentswishes,IPIP,Q1136,EPQ,I have often gone against my parents wishes.,i have often gone against my parents wishes,i have often go against my parent wish,0,0,1,other_item,agreeableness
ihaveoncewishedthatiweredead,IPIP,Q1163,EPQ,I have once wished that I were dead.,i have once wished that i were dead,i have once wish that i be dead,0,0,1,other_item,neuroticism
ihaveoutofbodyexperiences,IPIP,Q1336,IPIP,I have out of body experiences.,i have out of body experiences,i have out of body experience,0,0,0,other_item,openness
ihaveovercomepainanddisappointment,IPIP,Q2610,VIA,I have overcome pain and disappointment.,i have overcome pain and disappointment,i have overcome pain and disappointment,0,0,1,other_item,openness
ihavepersuadedotherstodosomethingreallyadventurousorcrazy,IPIP,Q2372,BIS-BAS,I have persuaded others to do something really adventurous or crazy.,i have persuaded others to do something really adventurous or crazy,i have persuade other to do something really adventurous or crazy,0,0,1,other_item,extraversion
ihavephysicalsensationsthatevendoctorsdonotunderstand,IPIP,Q1373,IPIP,I have physical sensations that even doctors do not understand.,i have physical sensations that even doctors do not understand,i have physical sensation that even doctor do not understand,0,0,0,other_item,neuroticism
ihaveproblemswithmyeyesight,IPIP,Q2255,IPIP,I have problems with my eyesight.,i have problems with my eyesight,i have problem with my eyesight,0,0,0,other_item,neuroticism
ihavereadalot,IPIP,Q3805,HPI,I have read a lot.,i have read a lot,i have read a lot,0,0,1,big5_item,openness
ihavereadthegreatliteraryclassics,IPIP,Q4919,HEXACO,I have read the great literary classics.,i have read the great literary classics,i have read the great literary classic,0,0,1,big5_item,openness
ihaverecentlyfoundanoriginalsolutiontoaprobleminmylife,IPIP,Q2644,VIA,I have recently found an original solution to a problem in my life.,i have recently found an original solution to a problem in my life,i have recently find an original solution to a problem in my life,0,0,1,other_item,openness
ihavesavedsomanythingsthattheygetintheway,IPIP,Q2382,IPIP,I have saved so many things that they get in the way.,i have saved so many things that they get in the way,i have save so many thing that they get in the way,0,0,0,other_item,neuroticism
ihavesecondthoughts,IPIP,Q1903,IPIP,I have second thoughts.,i have second thoughts,i have second thought,0,0,0,other_item,neuroticism
ihavesecretstrategies,IPIP,Q2036,IPIP,I have secret strategies.,i have secret strategies,i have secret strategy,0,0,0,other_item,openness
ihavesomebadhabits,IPIP,Q2109,MPQ,I have some bad habits.,i have some bad habits,i have some bad habit,0,0,1,other_item,neuroticism
ihavesometimesfeltincrediblyintensepleasure,IPIP,Q1560,IPIP,I have sometimes felt incredibly intense pleasure.,i have sometimes felt incredibly intense pleasure,i have sometimes feel incredibly intense pleasure,0,0,0,other_item,extraversion
ihavesometimeshadtotellalie,IPIP,Q6346,MPQ,I have sometimes had to tell a lie.,i have sometimes had to tell a lie,i have sometimes have to tell a lie,0,0,1,other_item,neuroticism
ihavespecialproblems,IPIP,Q2438,IPIP,I have special problems.,i have special problems,i have special problem,0,0,0,other_item,neuroticism
ihavespentatleastminutesinthelasttwohoursinprayerormeditation,IPIP,Q2513,IPIP,I have spent at least thirty minutes in the last twenty-four hours in prayer or meditation.,i have spent at least thirty minutes in the last twenty-four hours in prayer or meditation,i have spend at least minute in the last two hour in prayer or meditation,0,0,0,other_item,agreeableness
ihavestrongsexualurges,IPIP,Q2284,IPIP,I have strong sexual urges.,i have strong sexual urges,i have strong sexual urge,0,0,0,other_item,openness
ihavetakenfrequentstandsinthefaceofstrongopposition,IPIP,Q2440,VIA,I have taken frequent stands in the face of strong opposition.,i have taken frequent stands in the face of strong opposition,i have take frequent stand in the face of strong opposition,0,0,1,other_item,openness
ihavetheabilitytobeagoodteacher,IPIP,Q2247,IPIP,I have the ability to be a good teacher.,i have the ability to be a good teacher,i have the ability to be a good teacher,0,0,0,other_item,extraversion
ihavetheabilitytomakeothersfeelinteresting,IPIP,Q2450,VIA,I have the ability to make others feel interesting.,i have the ability to make others feel interesting,i have the ability to make other feel interesting,0,0,1,other_item,extraversion
ihavethefeelingofbeingdirectedorcontrolledfromoutsidelikeapuppetonastring,IPIP,Q1342,IPIP,I have the feeling of being directed or controlled from outside like a puppet on a string.,i have the feeling of being directed or controlled from outside like a puppet on a string,i have the feeling of be direct or control from outside like a puppet on a string,0,0,0,other_item,neuroticism
ihavethepowertocastspellsonothers,IPIP,Q5767,CAT-PD,I have the power to cast spells on others.,i have the power to cast spells on others,i have the power to cast spell on other,0,0,0,other_item,agreeableness
ihavethoughtsofinjuringmyself,IPIP,Q5754,CAT-PD,I have thoughts of injuring myself.,i have thoughts of injuring myself,i have thought of injure myself,0,0,0,other_item,neuroticism
ihavetimeforplayandrelaxation,IPIP,Q4289,6FPQ,I have time for play and relaxation.,i have time for play and relaxation,i have time for play and relaxation,0,0,1,big5_item,conscientiousness
ihavetobeonguardagainstspellswhichstrangersmaycastuponme,IPIP,Q2453,IPIP,I have to be on guard against spells which strangers may cast upon me.,i have to be on guard against spells which strangers may cast upon me,i have to be on guard against spell which stranger may cast upon me,0,0,0,other_item,neuroticism
ihavetopsychmyselfupbeforeiambraveenoughtomakeaphonecall,OpenPsychometrics,Q5150,MEIS,I have to psych myself up before I am brave enough to make a phone call.,i have to psych myself up before i am brave enough to make a phone call,i have to psych myself up before i be brave enough to make a phone call,0,0,0,big5_item,extraversion
ihavetoolittletimetodowhatisneeded,IPIP,Q2033,IPIP,I have too little time to do what is needed.,i have too little time to do what is needed,i have too little time to do what be need,0,0,0,other_item,neuroticism
ihavetoomanythingstodo,IPIP,Q4290,6FPQ,I have too many things to do.,i have too many things to do,i have too many thing to do,0,0,1,big5_item,conscientiousness
ihavetroublechangingmybehaviortosuitthesituation,IPIP,Q2120,IPIP,I have trouble changing my behavior to suit the situation.,i have trouble changing my behavior to suit the situation,i have trouble change my behavior to suit the situation,0,0,0,other_item,extraversion
ihavetroublefindingpeopleiwanttobefriendswith,OpenPsychometrics,Q5151,MEIS,I have trouble finding people I want to be friends with.,i have trouble finding people i want to be friends with,i have trouble find people i want to be friend with,0,0,0,big5_item,extraversion
ihavetroublegettinginterestedinthings,IPIP,Q5656,CAT-PD,I have trouble getting interested in things.,i have trouble getting interested in things,i have trouble get interested in thing,0,0,0,other_item,neuroticism
ihavetroubleguessinghowotherswillreact,IPIP,Q4944,HEXACO,I have trouble guessing how others will react.,i have trouble guessing how others will react,i have trouble guess how other will react,0,0,1,big5_item,openness
ihavetroublerelaxingevenwithfamilyorfriends,IPIP,Q2752,IPIP,I have trouble relaxing even with family or friends.,i have trouble relaxing even with family or friends,i have trouble relax even with family or friend,0,0,0,other_item,neuroticism
ihavetroubleresistingthetemptationofdoingforbiddenthings,IPIP,Q2400,IPIP,I have trouble resisting the temptation of doing forbidden things.,i have trouble resisting the temptation of doing forbidden things,i have trouble resist the temptation of do forbidden thing,0,0,0,other_item,conscientiousness
ihavetroublethrowingawayevenworthlessjunk,IPIP,Q2739,IPIP,I have trouble throwing away even worthless junk.,i have trouble throwing away even worthless junk,i have trouble throw away even worthless junk,0,0,0,other_item,conscientiousness
ihaveunpredictableemotionsandmoods,IPIP,Q5648,CAT-PD,I have unpredictable emotions and moods.,i have unpredictable emotions and moods,i have unpredictable emotion and mood,0,0,0,other_item,neuroticism
ihaveurgestocutmyself,IPIP,Q5752,CAT-PD,I have urges to cut myself.,i have urges to cut myself,i have urge to cut myself,0,0,0,other_item,neuroticism
ihavewantedtobeastandupcomedian,OpenPsychometrics,Q5215,MEIS,I have wanted to be a standup comedian.,i have wanted to be a standup comedian,i have want to be a stand up comedian,0,0,0,big5_item,extraversion
ihavewrittenasuicidenote,IPIP,Q5756,CAT-PD,I have written a suicide note.,i have written a suicide note,i have write a suicide note,0,0,0,other_item,neuroticism
ihearsoundsfromnearbyasiftheycomefromfaraway,IPIP,Q1291,IPIP,I hear sounds from nearby as if they come from far away.,i hear sounds from nearby as if they come from far away,i hear sound from nearby as if they come from far away,0,0,0,other_item,conscientiousness
